comment
居然学苹果的抠搜不给充电器
***的东西就不要买了。售后没保障
晚上充满电，下午四点就没电了
伤心，手机电不耐用，差点意思
送货不准时，客服人员也**是听不明白也说不明白
减配到连充电线都不配了！
一部烂手机，等了快一个多月，真不错！
没有充电线一点不完美
店家发货非常快，服务态度很好，应该是正品，一次很愉快的购物
拍照多开几分钟会卡，拍不了照片，什么鬼
不带充电器，退货还得自己付运费，果断退货
买个手机花了五千块耳机充电器什么都没有
买到苐五天就开不了机，送京东检修仍然开机不了
这**就是京东物流，我买的还是手机，也算得上是贵重物品吧
没充电器，就一个单机子，这怎么充电？
还不如我上一部mate30，电量跟闹着玩的似的，新机，半天就没电了。怀疑是不是翻新机。
买过来才用，已经卡了两次了，这个手机质量这么差吗？
信号不好，耗电快，还不如用了两年的maet30好
这个机器足足等了一个月才到，为什么那么早下单买了没有货！不配送！反而预售不预约的直接买完了就到货！玩呢那我们消费者
苹果没有充电头你就没有，苹果没有耳机你又跟着没有？支持国货就这样搞？
手机发烫严重，已退货
新手机为什么没有配原充电器，难道买双鞋还要自己买鞋带吗？
文字游戏，注意没有任何配件，是裸机，唉，你不配快充，怎么不能不配慢的吧，唉
没有冲电器的手机怎么用？下单时没说明，收到货才说没有冲电器？那你干脆卖汽车不带车轮了。
电池不行，用几个小时没电了，烦，有点卡，感觉不是新机
减配的连充电器都不配了，那天会不会减配的就只发CPU，主板和电池过来自己组装了
华为也和苹果学，居然手机不配充电器，这个和汽车不配轮胎有什么区别？
感觉手机不是很好，鸿蒙系统用着有时也卡，我这都还剩190多个G，拍照还可以，其他的都不怎么样。
总卡，还死机，感觉不如之前淘汰好几带的。需要客服的不要买，没有客服。
声音放大点背面会感觉到震感，运行系统也容易卡，比p30差多了
包装什么的没问题，只是没有配充电线有点遗憾。。大家都说要支持华为，可是他不太给力，充电线都要单独买，属实有点失望?
使用不到半个月，卡顿，闪退，大家还是去实体店体验后在入手吧，手机出现问题又不解决，让自己拿去检测，浪费时间成本
各种优惠券不能用，付款显示直接用白条付优惠65元，或者是12期免息。注册白条后只能优惠40，没有12期免息，然后竟然一顿操作，最后优惠1分钱。京东外加京东金融，成功的来了一顿套路！至今没有解释~明明至少能优惠65，到最后优惠1分钱~
没有mate30a好用，扬声器卡顿，音质不清晰，屏幕越来越小了，越来越像苹果的作风，但是没有人家的质量，没有人家硬
鸿蒙操作系统耗电是安卓的两倍，手机半天就要充电。华为推鸿蒙是一条死路，拭目以待。
实话实说，性能还不错，但是包装十分简陋，原装充电器和耳机都没有，充电器都没有我买一次性手机吗，联系客服全是机器人，本来挺喜欢的，现在感觉体验很差。
外观设计不错，这个电池真的不是一般的差，半天掉百分之60的电，新手机一天二冲，使用频率高的不建议购买！
使用了三天，感觉没想象中那么好，拍照不如媳妇儿的苹果xr，关键拍照几分钟就开始发热，续航也不太理想，总之想退！
买了白色收到黑色，寄回去换还要检测？至今还没有收到换回来的货。客服跟我说&ldquo;不影响&rdquo;，是的，不影响你们，影响我而已。
很不推荐这款手机，虽然外观是好看的，但是使用起来，信号很差，还容易卡顿反应速度也慢，个人是不推荐的
"外形外观：很好看，四边对称边框，超窄边框。屏幕音效：华为中最佳屏幕，高刷、高频调光很舒服，对比过mate40,mate40pro,p40pro屏幕。拍照效果：拍照效果还可以。待机时间：唯一缺点就是续航非常不好，华为旗舰中最差续航，希望能够尽快解决。其他特色：已闲置，**给有需要的小伙伴"
很不愉快的购物体验，被客服玩的团团转
连个充电线或者防护膜都没有？？？差评
买了不到一个月就降价500，感受很糟糕
本来看是有赠品，实际下单沒了，忽悠人
这次购买太失望了，手机?各种卡，卡的冒火
几千块的东西，没有充电器，真是服务极差
收到手机，居然没有充电器？？？无语！！！
垃圾商店，5千的手机啥也没送，就送个手机壳
垃圾，连个充电器都没有，怎么充电
电池非常不耐用。建议买的配个充电宝。
真6，5000块打水漂了，真厉害，再买华为我就是傻福
产品很差，2022年2月25号收到手机，3月8号出现死机现象。
屏幕触控很不灵敏，而且手机卡顿严重
五千块的电话连个充电器都没有，华为也真可以了！
卡，闪退这个毛病真坑，不如加一千买苹果
连充电器都没有，客服态度也不是很好，下次再也不买华为了。
太差了，发热严重，最好不要买。。。。。。。。。
电池不行，太差，掉电太快，很怀疑电池的容量
发热太严重，退货了，不在支持华为了
发货太慢，一直不发货
手机没有充电器，没有耳机，联系卖家也不搭理，差评
不知道是不是我一直用m系列的原因，p50给我的体验不及预期，有时候很卡！！！
超差，充电器没有！使用时还要强制输入银行账号和密码
京东自营太坑了吧，充电器都不配一个，早知道在别的店买了，人家还送音响耳机什么的
华为手机就是差，关键时刻掉链子，后悔交了智商税，发誓今生再也不买华为品牌产品
亏钱卖了新买的苹果，买了华为，连充电器，线什么都不配。。。别让人失望啊！
下单时显示有几个赠品，等了11天到货，什么鬼也没有。真心支持华为才买的，***。
差评！充电器都没有，怎么充电呢，基本功能都不能保障
实在是太失望了，打开一个相机都要卡几秒，比以前旧手机差太多了感觉就跟几百块钱手机一样，再也不相信华为了。
很差，开机都开不了，打爱国情怀就这？就这？早点再见吧
这个价位的手机电池也太差劲了，不打游戏的人一天都不够用，之前的华为还可以，这次很失望
拿到手机十来天后振动器坏了，申请换了一个。没想到换好的手机一个多月振动器又坏了，真是醉了
信号太差，连P20都不如！
已申请退货，11月11日收到手机，打开后，竟然里面竟然有8月3日的通话记录，退货过程，京东物流快递员素质极差极差，好感敗到零。
最差的一次买手机体验，新手机啊，充电充到70就充不进去了，建议大家购买之前考虑好，我直接退货了！！！说实话，这次华为伤到我的心了
手机续航太差！晚上充满的电一晚上没用早上起来就剩百分之68。拍照效果也差。
发烫明显，最糟糕的是耗电太快，完全没打游戏和刷视频的情况下一个白天都很勉强呀！
可以换货吗？续航太差了，一天充三次电，亮屏时间只能坚持5个小时
标准版，居然没有充电器，跟谁学的啊，心理感受超级差评吧！
现在的华为是准备学苹果手机吗，充电器都不配了，一个充电器另外买要两百块真的是太敢赚了还国名品牌
待机时间：用。时间特差，手机使用就经常发烫，充电时间特慢，怀疑**残次品或假货
差评没用充电器不说，连个充电线都没有，我怎么充电。辣鸡
刚用了没几天摄像头就出问题了，双击截屏不灵敏，手机触屏也有问题。。。。买了这么多华为的产品，第一次给差评。
手机太垃圾了，什么配件都没有，最起码给一条数据线啊，难道这个手机这么环保吗？以后卖手机直接寄零件，自己组装，你们厂家组装费都省了，不是吗？
垃圾了，为什么还没发售的时候都已经预定购机，交了定金。反过来不用预定购机的都拿到手机了，提前预约的拿不到？拖了这么久？京东真的让人搞不懂
待机时间：待机时间很短，一天都不到。运行速度：运行速度很慢，机子整体很不满意
手机没有问题。。但是配件没有耳机，。也不带充电器？。。。充电器需要另外买！！。这操作太牛，必须给个差评
真是太失望了。现在买个手机连充电线都没有了吗。我还要单独配一个。哈哈了呀。产品发布的时候能写出来吗
破手机！！！！新买回来的续航比我p30短很多！！！！视频没一会机身发热，华为后面造的手机全是靠爱国吗！！商品质量差的离谱！越来越烂！！！
没有充电器数据线，一次性商品，想钱想疯了，商家太会卖产品了，第一次遇到这么奇特的商家营销，以后别的商家照你家做买冰箱不给电源线，买电视不给电源线，发货特慢，没产品还上架卖，就是拿顾客的钱空手套白狼
就一台手机，没有充电器怎么用，客服说我自己没看清楚清单，我想问几千块买个手机连充电器都不配，还好没有买手机自己配芯片，差评
还行。。我们支持华为。华为学某果。啥也没有。。啥也不是。连快递包邮都简陋。真是一切从简。体验极差。交智商税吧
使用一个半月，三次早上起来开不了机，送到服务点，说是主板问题，华为终端那边回访说给我换一台新机，要先寄到服务点，说周六寄，周日到，周一我给服务网点打电话说还没到，今天周二了还是一点消息都没有，终端那边电话打回去空号，还能怎么维权？
华为P50会是华为的一个耻辱吧，相机卡顿，打开相机会格外发热，系统也不流畅，不建议买。
连个充电器都没有搞个卵，早知道打死我都不会购买。很差的一次体验！京东买了这么多手机了。没充电器还是第一次！任振华估计也快到头了。踏马的
